FIPS_Code,County_name,Overall Homeless 2019,Overall Homeless 2018,Overall Homeless 2017,Overall Homeless 2016,Overall Homeless 2015,Overall Homeless - Under 18 ,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Non-Hispanic,Overall Homeless - Hispanic/Latino,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Total Households,Population 25 years and older,Employment Status of the Population 16 years and over,Employed,Unemployed,Unemployment Rate,Percent Worked at Home,Median Household Income ($),Percent Families in Poverty,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,total_beds_2020,total_beds_2019,total beds_2018,total beds_ 2017,total_beds_2016,total_beds_2015
24029,Kent County,33.0,28.0,31.0,28.0,32.0,10,3,20.0,17,16.0,30.0,3,17,13.0,0,0,0,3,6,4,0,"10,056","9,671",385,3.8,"10,385","9,944",441,4.2,"10,814","10,298",516,4.8,"10,256","9,709",547,5.3,"10,742","10,243",499,4.6,"10,945","10,448",497,4.5,"11,081","10,616",465,4.2,"11,198","10,775",423,3.8,"11,125","10,561",564,5.1,"10,954","10,058",896,8.2,"10,653","9,688",965,9.1,"10,775","9,895",880,8.2,"10,634","9,833",801,7.5,"10,346","9,609",737,7.1,"10,344","9,688",656,6.3,"10,568","10,015",553,5.2,"10,230","9,750",480,4.7,"10,235","9,787",448,4.4,"10,332","9,897",435,4.2,"10,272","9,873",399,3.9,"9,664","9,026",638,6.6,"65,615",75.7,7605,13932,16794,9131,457,4.8,11.0,56638,7.8,10667,71.3,28.7,19666,21,18,15,18,17,14
24031,Montgomery County,647.0,840.0,894.0,981.0,1100.0,130,28,489.0,277,369.0,553.0,94,183,388.0,20,2,13,41,1,1,1,"487,315","474,624","12,691",2.6,"491,683","475,953","15,730",3.2,"497,657","479,111","18,546",3.7,"497,712","479,960","17,752",3.6,"496,761","479,611","17,150",3.5,"505,167","488,059","17,108",3.4,"513,720","497,787","15,933",3.1,"512,726","498,244","14,482",2.8,"520,067","502,576","17,491",3.4,"524,629","494,416","30,213",5.8,"533,156","502,458","30,698",5.8,"536,947","508,359","28,588",5.3,"540,810","513,193","27,617",5.1,"543,134","516,469","26,665",4.9,"544,271","520,698","23,573",4.3,"547,229","526,310","20,919",3.8,"544,649","526,510","18,139",3.3,"554,112","536,053","18,059",3.3,"556,234","539,139","17,095",3.1,"565,463","549,296","16,167",2.9,"548,398","513,663","34,735",6.3,"110,012",127.0,369242,713454,822213,554085,31839,5.4,5.9,103178,4.8,385485,95.5,4.5,1039198,384,418,487,510,616,619
24033,Prince George's County,447.0,478.0,525.0,544.0,625.0,162,36,249.0,261,185.0,432.0,15,22,406.0,0,1,0,18,1,1,1,"428,841","413,166","15,675",3.7,"432,168","413,286","18,882",4.4,"438,405","415,586","22,819",5.2,"441,014","418,766","22,248",5.0,"439,525","418,279","21,246",4.8,"443,531","422,016","21,515",4.9,"448,104","428,023","20,081",4.5,"448,420","431,117","17,303",3.9,"454,281","433,384","20,897",4.6,"460,136","425,672","34,464",7.5,"480,390","443,412","36,978",7.7,"483,094","446,690","36,404",7.5,"485,215","450,330","34,885",7.2,"485,941","452,620","33,321",6.9,"486,156","457,128","29,028",6.0,"486,318","461,301","25,017",5.1,"499,860","478,398","21,462",4.3,"507,478","486,591","20,887",4.1,"506,145","486,102","20,043",4.0,"513,748","494,934","18,814",3.7,"504,276","462,879","41,397",8.2,"85,357",98.5,306694,607229,723402,476889,37548,7.3,2.8,78607,6.5,330708,92.8,7.2,905161,381,374,369,389,422,444
24035,Queen Anne's County,33.0,28.0,30.0,27.0,31.0,9,3,20.0,17,16.0,30.0,2,16,13.0,0,0,0,3,1,1,1,"22,680","21,992",688,3.0,"23,078","22,259",819,3.5,"23,718","22,797",921,3.9,"24,206","23,216",990,4.1,"24,425","23,480",945,3.9,"25,083","24,129",954,3.8,"25,967","25,025",942,3.6,"26,198","25,324",874,3.3,"26,872","25,724","1,148",4.3,"27,188","25,231","1,957",7.2,"26,181","24,220","1,961",7.5,"26,616","24,790","1,826",6.9,"26,746","25,078","1,668",6.2,"26,465","24,932","1,533",5.8,"26,364","25,040","1,324",5.0,"26,612","25,434","1,178",4.4,"26,567","25,564","1,003",3.8,"27,379","26,393",986,3.6,"27,838","26,936",902,3.2,"28,284","27,432",852,3.0,"27,202","25,712","1,490",5.5,"101,350",117.0,17995,34452,39552,25556,986,3.7,7.6,89241,3.8,20754,86.2,13.8,49071,20,18,15,17,17,14
24037,St.Mary's County,102.0,164.0,139.0,154.0,327.0,17,7,26.0,41,56.0,101.0,0,38,58.0,0,0,0,4,3,2,1,"44,305","42,880","1,425",3.2,"45,544","43,957","1,587",3.5,"47,509","45,663","1,846",3.9,"48,528","46,714","1,814",3.7,"49,031","47,221","1,810",3.7,"49,243","47,354","1,889",3.8,"50,803","48,953","1,850",3.6,"51,118","49,495","1,623",3.2,"52,528","50,511","2,017",3.8,"53,978","50,720","3,258",6.0,"53,693","50,089","3,604",6.7,"54,283","50,823","3,460",6.4,"54,521","51,177","3,344",6.1,"54,258","51,049","3,209",5.9,"54,062","51,200","2,862",5.3,"54,562","51,964","2,598",4.8,"54,730","52,486","2,244",4.1,"55,118","52,957","2,161",3.9,"55,790","53,728","2,062",3.7,"57,283","55,414","1,869",3.3,"57,281","54,513","2,768",4.8,"89,123",102.9,39276,73031,86676,54121,2374,4.2,2.5,86508,5.8,43276,89.6,10.4,110979,70,53,53,55,64,110
24039,Somerset County,91.0,97.0,87.0,87.0,108.0,16,5,71.0,36,55.0,91.0,1,39,51.0,0,0,0,2,2,2,1,"10,437","9,792",645,6.2,"10,865","10,111",754,6.9,"11,127","10,328",799,7.2,"10,997","10,221",776,7.1,"11,305","10,515",790,7.0,"11,483","10,731",752,6.5,"11,364","10,687",677,6.0,"11,257","10,612",645,5.7,"11,376","10,607",769,6.8,"11,189","10,050","1,139",10.2,"9,952","8,744","1,208",12.1,"9,881","8,716","1,165",11.8,"9,737","8,655","1,082",11.1,"9,573","8,558","1,015",10.6,"9,271","8,407",864,9.3,"9,215","8,470",745,8.1,"9,219","8,573",646,7.0,"9,285","8,658",627,6.8,"9,218","8,591",627,6.8,"9,137","8,585",552,6.0,"8,720","7,996",724,8.3,"38,731",44.7,8362,17070,21979,8593,971,10.2,4.5,39239,18.0,11244,73.8,26.2,25801,82,82,80,73,77,86
24041,Talbot County,32.0,28.0,30.0,27.0,31.0,9,2,20.0,16,16.0,30.0,2,16,13.0,0,0,0,2,6,3,0,"17,500","16,921",579,3.3,"18,093","17,428",665,3.7,"18,657","17,901",756,4.1,"18,577","17,712",865,4.7,"18,663","17,835",828,4.4,"18,964","18,161",803,4.2,"19,070","18,332",738,3.9,"18,985","18,299",686,3.6,"19,378","18,517",861,4.4,"18,817","17,347","1,470",7.8,"19,436","17,849","1,587",8.2,"19,457","17,994","1,463",7.5,"19,420","18,042","1,378",7.1,"19,158","17,941","1,217",6.4,"19,118","18,089","1,029",5.4,"19,259","18,331",928,4.8,"19,517","18,727",790,4.0,"19,714","18,945",769,3.9,"19,700","18,986",714,3.6,"19,275","18,626",649,3.4,"17,776","16,707","1,069",6.0,"75,714",87.4,16498,28077,31332,17863,826,4.4,6.3,65595,6.7,20110,81.9,18.1,37461,20,18,15,17,18,14
24043,Washington County,249.0,199.0,208.0,233.0,201.0,24,18,207.0,77,171.0,242.0,7,171,70.0,1,0,1,6,2,2,1,"66,087","63,693","2,394",3.6,"66,984","63,905","3,079",4.6,"67,953","64,385","3,568",5.3,"67,266","63,692","3,574",5.3,"66,674","63,423","3,251",4.9,"67,975","64,735","3,240",4.8,"68,813","65,497","3,316",4.8,"68,533","65,332","3,201",4.7,"68,316","64,286","4,030",5.9,"68,833","61,653","7,180",10.4,"75,930","68,493","7,437",9.8,"76,499","69,745","6,754",8.8,"77,183","71,224","5,959",7.7,"77,209","71,601","5,608",7.3,"76,367","71,498","4,869",6.4,"76,634","72,415","4,219",5.5,"75,300","71,575","3,725",4.9,"75,298","71,850","3,448",4.6,"74,713","71,527","3,186",4.3,"74,861","72,015","2,846",3.8,"72,703","67,799","4,904",6.7,"59,785",69.0,55999,103916,120112,67375,4898,6.8,4.8,58260,9.7,61199,91.4,8.6,149546,153,221,261,281,214,250
24045,Wicomico County  ,92.0,97.0,86.0,88.0,109.0,16,4,71.0,37,54.0,91.0,1,38,51.0,0,0,0,3,2,2,1,"46,184","44,279","1,905",4.1,"47,412","45,074","2,338",4.9,"48,478","45,972","2,506",5.2,"48,559","46,053","2,506",5.2,"50,025","47,640","2,385",4.8,"51,832","49,447","2,385",4.6,"52,558","50,248","2,310",4.4,"52,493","50,299","2,194",4.2,"53,240","50,317","2,923",5.5,"52,801","48,053","4,748",9.0,"50,451","45,440","5,011",9.9,"50,558","45,559","4,999",9.9,"50,480","45,799","4,681",9.3,"50,121","45,800","4,321",8.6,"50,050","46,230","3,820",7.6,"50,182","46,839","3,343",6.7,"50,359","47,331","3,028",6.0,"50,855","47,994","2,861",5.6,"50,891","48,269","2,622",5.2,"51,370","49,020","2,350",4.6,"49,403","45,722","3,681",7.5,"54,351",62.7,37415,63959,82053,49785,4069,7.6,3.3,54493,10.2,41911,88.8,11.2,102014,83,82,80,73,77,86
24047,Worcester County,92.0,98.0,87.0,87.0,109.0,17,4,71.0,37,55.0,90.0,1,39,50.0,0,0,0,2,2,2,1,"25,963","24,387","1,576",6.1,"26,988","25,159","1,829",6.8,"28,325","26,415","1,910",6.7,"27,828","25,878","1,950",7.0,"27,473","25,457","2,016",7.3,"27,847","25,854","1,993",7.2,"28,468","26,620","1,848",6.5,"27,712","25,975","1,737",6.3,"27,888","25,738","2,150",7.7,"28,071","24,778","3,293",11.7,"26,529","22,894","3,635",13.7,"26,378","22,718","3,660",13.9,"26,108","22,776","3,332",12.8,"25,888","22,663","3,225",12.5,"25,640","22,722","2,918",11.4,"25,423","22,784","2,639",10.4,"25,158","22,900","2,258",9.0,"25,411","23,269","2,142",8.4,"25,441","23,434","2,007",7.9,"25,741","23,880","1,861",7.2,"25,069","22,270","2,799",11.2,"65,821",76.0,21190,38930,43529,23915,1841,7.1,5.5,59458,7.8,55822,37.8,62.2,51559,82,81,81,72,76,85
24510,Baltimore City,2294.0,2508.0,2669.0,2725.0,2796.0,236,134,1924.0,631,1660.0,2234.0,60,602,1609.0,15,25,8,35,1,1,1,"279,702","263,314","16,388",5.9,"279,925","260,764","19,161",6.8,"275,949","255,005","20,944",7.6,"276,196","254,428","21,768",7.9,"273,654","252,369","21,285",7.8,"273,675","253,221","20,454",7.5,"276,223","257,232","18,991",6.9,"277,380","260,952","16,428",5.9,"281,402","261,928","19,474",6.9,"283,620","252,468","31,152",11.0,"296,080","262,216","33,864",11.4,"295,569","264,036","31,533",10.7,"297,153","267,396","29,757",10.0,"296,422","267,999","28,423",9.6,"293,732","268,993","24,739",8.4,"293,358","271,643","21,715",7.4,"289,071","270,665","18,406",6.4,"290,741","273,107","17,634",6.1,"287,486","271,497","15,989",5.6,"287,760","273,351","14,409",5.0,"281,187","256,482","24,705",8.8,"49,780",57.5,239791,425235,502594,277954,30749,10.0,3.8,46641,17.2,296923,81.3,18.7,619796,2140,2154,2247,2429,2751,2505
